Text,Classificacao
fiquei perplexo com suas palavras,surpresa
estou abismado com sua prosa,surpresa
eu ficaria realmente abismado se me dissessem isso,surpresa
o grupo foi surpreendido enquanto lavava o carro,surpresa
estou boquiaberto com as imagens,surpresa
estou boquiaberto com essas suas palavras,surpresa
esse quadro e maravilhoso,surpresa
este carro me deixou maravilhado,surpresa
estou maravilhada,surpresa
essa expectativa esta me matando,surpresa
vou caminhar sempre na expectativa de encontra-lo,surpresa
voce emudece minhas palavras,surpresa
minhas palavras vao emudecer se nao parar de me surpreender,surpresa
a mulher e um efeito deslumbrante da natureza,surpresa
estou deslumbrada com essas joias,surpresa
isso e romantico e deslumbrante,surpresa
isso pode ser surpreendentemente deslumbrante,surpresa
trabalho deslumbrante,surpresa
essas pessoas sao esplendidas,surpresa
e esplendido como o ceu se encontra no momento,surpresa
e um carro fantastico,surpresa
um edifÌcio realmente fantastico,surpresa

por favor nao me abandone,tristeza
nao quero ficar sozinha,tristeza
nao me deixe sozinha,tristeza
estou abatida,tristeza
ele esta todo abatido,tristeza
tao triste suas palavras,tristeza
seu amor nao e mais meu,tristeza
estou triste,tristeza
isso vai me aborrecer,tristeza
estou com muita aflicao,tristeza
me aflige o modo como fala,tristeza
estou em agonia com meu intimo,tristeza
nao quero fazer nada,tristeza
me sinto ansiosa e tensa,tristeza
nao consigo parar de chorar,tristeza
nao consigo segurar as lagrimas,tristeza
e muita dor perder um ente querido,tristeza
estou realmente arrependida,tristeza
acho que o carma volta pois agora sou eu quem sofro,tristeza
voce nao cumpriu suas promessas,tristeza
me sinto amargurada,tristeza
coitado esta tao triste,tristeza
ja e tarde de mais,tristeza
nosso amor acabou,tristeza
essa noite so me machucou,tristeza
eu nao estou mais no seu coracao,tristeza
voce mudou comigo,tristeza
quando eu penso em voce realmente doi,tristeza
como se fosse nada voce ve minhas lagrimas,tristeza
voce disse cruelmente que nao se arrependeu,tristeza
eu nunca mais vou te ver,tristeza
ela esta com depressao,tristeza
a depressao aflige as pessoas,tristeza
estar depressivo e muito ruim,tristeza
estou derrotada e deprimida depois deste dia,tristeza
e triste te ver dessa maneira,tristeza
e triste ver o que as criancas do brasil passam,tristeza
como me sinto culpada,tristeza
estou abatida,tristeza
a ansiedade tomou conta de mim,tristeza
as pessoas nao gostam do meu jeito,tristeza
adeus passamos bons momentos juntos,tristeza
sinto sua falta,tristeza
ele nao gostou da minha comida,tristeza
estou sem dinheiro para a comida,tristeza
queria que fosse o ultimo dia da minha vida,tristeza
voce esta com vergonha de mim,tristeza
ela nao aceitou a minha proposta,tristeza
era o meu ultimo centavo,tristeza
reprovei de ano na faculdade,tristeza
afinal voce so sabe me desfazer,tristeza
eu falhei em tudo nessa vida,tristeza
eu fui muito humilhado,tristeza
e uma historia muito triste,tristeza
ninguem acredita em mim,tristeza
eu nao sirvo para nada mesmo,tristeza
droga nao faco nada direito,tristeza
sofrimento em dobro na minha vida,tristeza
fui demitida essa semana,tristeza
as criancas sofrem ainda mais que os adultos,tristeza
para mim um dia e ruim o outro e pior,tristeza
de repente perdi o apetite,tristeza
oh que dia infeliz,tristeza
estamos afundados em contas,tristeza
nem um milagre pode nos salvar,tristeza
so me resta a esperanca,tristeza
pior que isso nao pode ficar,tristeza
meu salario e baixo,tristeza
nao passei no vestibular,tristeza
ninguem se importa comigo,tristeza
ninguem lembrou do meu aniversario,tristeza
tenho tanto azar,tristeza
o gosto da vinganca e amargo,tristeza
sou uma mulher amargurada depois de que voce me deixou,tristeza
estou desanimada com a vida,tristeza
e um desanimo so coitadinha,tristeza
a derrota e depressiva,tristeza
discriminar e desumano,tristeza
que desanimo,tristeza
e uma desonra para o pais,tristeza
a preocupacao deveria nos levar a acao nao a depressao,tristeza
passamos ao desalento e a loucura,tristeza
aquele que nunca viu a tristeza nunca reconhecera a alegria,tristeza
cuidado com a tristeza ela e um vicio,tristeza

